Rank,Country (or dependent territory),Population,Date,"% of world
population",Source
223,Aruba,,9/30/14,0.00%,Official estimate
210,Andorra,,4/1/10,0.00%,Final 2010 census result
227,Afghanistan,,5/11/11,0.00%,Preliminary 2011 census result
198,Angola,,9/29/10,0.00%,2010 census result
206,Albania,8.85,5/20/10,0.00%,Final 2010 census result
222,Arab World,,7/1/10,0.00%,Annual official estimate
224,United Arab Emirates,,1/1/13,0.00%,Official estimate
211,Argentina,4.73,10/10/10,0.00%,Final 2010 census result
238,Armenia,8.72,8/9/11,0.00%,2011 census result
242,American Samoa,,8/9/11,0.00%,2011 census result
226,Antigua and Barbuda,,12/1/11,0.00%,Final 2011 census result
192,Australia,7.09,3/26/11,0.00%,2011 census result
235,Austria,7.78,7/1/14,0.00%,UN projection
214,Azerbaijan,,8/1/14,0.00%,Monthly official estimate
183,Burundi,,8/22/12,0.00%,Preliminary 2012 census result
221,Belgium,8.62,12/31/12,0.00%,Annual official estimate
175,Benin,6.06,1/1/13,0.01%,Official annual estimate
191,Burkina Faso,,4/1/10,0.00%,Final 2010 census result
207,Bangladesh,8.89,3/31/12,0.00%,Annual official estimate
101,Bulgaria,6.16,7/1/14,0.10%,Official estimate
203,Bahrain,,3/27/11,0.00%,2011 census result
200,"Bahamas, The",,12/31/12,0.00%,Annual official estimate
168,Bosnia and Herzegovina,,3/31/14,0.01%,Official quaterly estimate
177,Belarus,9.65,1/1/13,0.01%,Official annual estimate
187,Belize,,8/21/12,0.00%,2012 census result
233,Bermuda,,5/12/11,0.00%,2011 census result
185,Bolivia,3.27,7/1/13,0.00%,Annual official estimate
239,Brazil,3.38,9/10/11,0.00%,Final 2011 census result
237,Barbados,,8/9/11,0.00%,2011 census result
213,Brunei Darussalam,,4/1/10,0.00%,Final 2010 census result
123,Bhutan,6.77,7/1/14,0.06%,Official estimate
243,Botswana,,2013,0.00%,Official estimate
132,Central African Republic,,7/1/13,0.05%,Official estimate
163,Canada,7.1,1/1/13,0.01%,Official annual estimate
231,Central Europe and the Baltics,,1/1/10,0.00%,Official estimate
234,Switzerland,8.09,7/1/14,0.00%,UN projection
217,Channel Islands,,1/1/10,0.00%,Official estimate
232,Chile,4.52,1/1/10,0.00%,Official estimate
215,China,4.67,1/1/10,0.00%,Official estimate
236,Cote d'Ivoire,,9/1/12,0.00%,Official estimate
240,Cameroon,,10/18/11,0.00%,Final 2011 census result
220,"Congo, Rep.",5.66,1/25/12,0.00%,2012 census result
195,Colombia,3.29,4/1/10,0.00%,Final 2010 census result
228,Comoros,,7/1/13,0.00%,Annual official estimate
,Cabo Verde,,2011,0.00%,Official census
47,Costa Rica,4.21,7/1/13,0.36%,Official estimate
140,Caribbean small states,,1/1/14,0.04%,Annual official estimate
33,Cuba,,1/1/14,0.54%,Official estimate
204,Curacao,,7/1/13,0.00%,Annual official estimate
51,Cayman Islands,,5/16/14,0.34%,Preliminary 2014 census result
202,Cyprus,7.99,5/27/11,0.00%,Preliminary 2011 census result
31,Czech Republic,9.55,7/1/14,0.59%,Official annual projection
137,Germany,8.37,6/30/14,0.04%,Monthly official estimate
52,Djibouti,4.27,10/24/14,0.33%,Official population clock
95,Dominica,,4/1/14,0.12%,Official quarterly estimate
90,Denmark,8.48,8/1/14,0.13%,Official estimate
178,Dominican Republic,5.01,7/1/13,0.01%,Annual official estimate
155,Algeria,,7/1/14,0.02%,Official annual projection
8,East Asia & Pacific (developing only),,10/24/14,2.18%,Official population clock
182,East Asia & Pacific (all income levels),,7/1/13,0.00%,Official estimate
92,Europe & Central Asia (developing only),,7/1/14,0.13%,Quarterly official estimate
75,Europe & Central Asia (all income levels),,9/1/14,0.16%,Monthly official estimate
179,Ecuador,4.3,7/1/13,0.00%,Official estimate
87,"Egypt, Arab Rep.",,7/1/14,0.14%,Official annual projection
166,Euro area,,10/24/14,0.01%,Official population clock
86,Eritrea,,11/21/12,0.14%,2012 census result
130,Spain,5.76,10/15/13,0.05%,Preliminary 2013 census result
147,Estonia,7.17,8/22/11,0.03%,Final 2011 census result
